⚡ HETERO GROUP (CPU+GPU) 6-HOUR BURN STARTED
PID: 1502812
Time: 1772967296
Architecture: CPU(GridWorld+Curiosity+Rhythm) + GPU(SNN)
✅ GPU Layer Initialized
✅ CPU Layer Initialized
[4h34m] Steps: 1598249, Energy: 0.00, Reward: 18977.95
[4h35m] Steps: 1604084, Energy: 0.00, Reward: 19046.32
[4h36m] Steps: 1609915, Energy: 0.00, Reward: 19114.66
[4h37m] Steps: 1615748, Energy: 0.00, Reward: 19183.01
[4h38m] Steps: 1621578, Energy: 0.00, Reward: 19251.33
[4h39m] Steps: 1627414, Energy: 0.00, Reward: 19319.72
[4h40m] Steps: 1633250, Energy: 0.00, Reward: 19388.11
[4h41m] Steps: 1639082, Energy: 0.00, Reward: 19456.46
[4h42m] Steps: 1644913, Energy: 0.00, Reward: 19524.79
[4h43m] Steps: 1650742, Energy: 0.00, Reward: 19593.10
[4h44m] Steps: 1656573, Energy: 0.00, Reward: 19661.43
[4h45m] Steps: 1662410, Energy: 0.00, Reward: 19729.83
[4h46m] Steps: 1668248, Energy: 0.00, Reward: 19798.25
[4h47m] Steps: 1674087, Energy: 0.01, Reward: 19866.67
[4h48m] Steps: 1679921, Energy: 0.01, Reward: 19935.04
[4h49m] Steps: 1685760, Energy: 0.01, Reward: 20003.46
[4h50m] Steps: 1691602, Energy: 0.01, Reward: 20071.93
[4h51m] Steps: 1697440, Energy: 0.01, Reward: 20140.34
[4h52m] Steps: 1703284, Energy: 0.01, Reward: 20208.82
[4h53m] Steps: 1709115, Energy: 0.02, Reward: 20277.16
[4h54m] Steps: 1714949, Energy: 0.02, Reward: 20345.52
[4h55m] Steps: 1720784, Energy: 0.02, Reward: 20413.90
[4h56m] Steps: 1726622, Energy: 0.02, Reward: 20482.32
[4h57m] Steps: 1732464, Energy: 0.03, Reward: 20550.78
[4h58m] Steps: 1738300, Energy: 0.03, Reward: 20619.17
[4h59m] Steps: 1744134, Energy: 0.03, Reward: 20687.54
[5h0m] Steps: 1749970, Energy: 0.04, Reward: 20755.93
[5h1m] Steps: 1755802, Energy: 0.04, Reward: 20824.27
[5h2m] Steps: 1761639, Energy: 0.04, Reward: 20892.67
[5h3m] Steps: 1767469, Energy: 0.05, Reward: 20960.99
[5h4m] Steps: 1773301, Energy: 0.05, Reward: 21029.34
[5h5m] Steps: 1779136, Energy: 0.05, Reward: 21097.71
[5h6m] Steps: 1784970, Energy: 0.06, Reward: 21166.08
[5h7m] Steps: 1790805, Energy: 0.06, Reward: 21234.46
[5h8m] Steps: 1796645, Energy: 0.06, Reward: 21302.90
[5h9m] Steps: 1802466, Energy: 0.07, Reward: 21371.11
[5h10m] Steps: 1808267, Energy: 0.07, Reward: 21439.09
[5h11m] Steps: 1814109, Energy: 0.08, Reward: 21507.55
[5h12m] Steps: 1819958, Energy: 0.08, Reward: 21576.10
[5h13m] Steps: 1825806, Energy: 0.09, Reward: 21644.63
[5h14m] Steps: 1831653, Energy: 0.09, Reward: 21713.15
[5h15m] Steps: 1837496, Energy: 0.10, Reward: 21781.62
[5h16m] Steps: 1843342, Energy: 0.10, Reward: 21850.13
[5h17m] Steps: 1849192, Energy: 0.11, Reward: 21918.68
[5h18m] Steps: 1855044, Energy: 0.11, Reward: 21987.26
[5h19m] Steps: 1860896, Energy: 0.12, Reward: 22055.84
[5h20m] Steps: 1866747, Energy: 0.12, Reward: 22124.41
[5h21m] Steps: 1872597, Energy: 0.13, Reward: 22192.96
[5h22m] Steps: 1878440, Energy: 0.13, Reward: 22261.43
[5h23m] Steps: 1884287, Energy: 0.14, Reward: 22329.95
[5h24m] Steps: 1890138, Energy: 0.15, Reward: 22398.52
[5h25m] Steps: 1895991, Energy: 0.15, Reward: 22467.11
[5h26m] Steps: 1901837, Energy: 0.16, Reward: 22535.62
[5h27m] Steps: 1907687, Energy: 0.17, Reward: 22604.17
[5h28m] Steps: 1913529, Energy: 0.17, Reward: 22672.63
[5h29m] Steps: 1919377, Energy: 0.18, Reward: 22741.16
[5h30m] Steps: 1925224, Energy: 0.18, Reward: 22809.68
[5h31m] Steps: 1931072, Energy: 0.19, Reward: 22878.21
[5h32m] Steps: 1936924, Energy: 0.20, Reward: 22946.79
[5h33m] Steps: 1942771, Energy: 0.20, Reward: 23015.31
[5h34m] Steps: 1948614, Energy: 0.21, Reward: 23083.79
[5h35m] Steps: 1954459, Energy: 0.22, Reward: 23152.28
[5h36m] Steps: 1960303, Energy: 0.23, Reward: 23220.77
[5h37m] Steps: 1966150, Energy: 0.23, Reward: 23289.29
[5h38m] Steps: 1971999, Energy: 0.24, Reward: 23357.83
[5h39m] Steps: 1977846, Energy: 0.25, Reward: 23426.35
[5h40m] Steps: 1983689, Energy: 0.25, Reward: 23494.82
[5h41m] Steps: 1989537, Energy: 0.26, Reward: 23563.35
[5h42m] Steps: 1995389, Energy: 0.27, Reward: 23631.93
[5h43m] Steps: 2001232, Energy: 0.28, Reward: 23700.40
[5h44m] Steps: 2007079, Energy: 0.28, Reward: 23768.92
[5h45m] Steps: 2012918, Energy: 0.29, Reward: 23837.35
[5h46m] Steps: 2018755, Energy: 0.30, Reward: 23905.75
[5h47m] Steps: 2024600, Energy: 0.31, Reward: 23974.25
[5h48m] Steps: 2030442, Energy: 0.32, Reward: 24042.71
[5h49m] Steps: 2036287, Energy: 0.32, Reward: 24111.20
[5h50m] Steps: 2042132, Energy: 0.33, Reward: 24179.70
[5h51m] Steps: 2047975, Energy: 0.34, Reward: 24248.17
[5h52m] Steps: 2053820, Energy: 0.35, Reward: 24316.67
[5h53m] Steps: 2059664, Energy: 0.36, Reward: 24385.15
[5h54m] Steps: 2065539, Energy: 0.36, Reward: 24454.00
[5h55m] Steps: 2071423, Energy: 0.37, Reward: 24522.95
[5h56m] Steps: 2077310, Energy: 0.38, Reward: 24591.94
[5h57m] Steps: 2083194, Energy: 0.39, Reward: 24660.89
[5h58m] Steps: 2089084, Energy: 0.40, Reward: 24729.92
[5h59m] Steps: 2094969, Energy: 0.41, Reward: 24798.88

✅ HETERO COMPLETE: 2100850 steps, reward: 24867.80
